source,source_id,review_id,review_title,doi,file_id,file_name,file_size,download_url,upstream_checksum,format,license,license_url,parse_status,download_status,sha256
Dryad,10.5061/dryad.4mw6m90m8,DRYAD:10.5061/dryad.4mw6m90m8,Diagnostic accuracy of nutritional screening tools in patients with digestive system tumors: A meta-analysis and bayesian evaluation dataset,10.5061/dryad.4mw6m90m8,Data_Extraction_Form.csv,Data_Extraction_Form.csv,9375,https://datadryad.org/api/v2/files/3656060/download,sha-256:d8ebe368ed3b2a27ad17599d06fb563d646583bf687e33e925cf4750940c5807,csv,CC0-1.0,https://spdx.org/licenses/CC0-1.0.html,download_http_401,401,
Dryad,10.5061/dryad.4mw6m90m8,DRYAD:10.5061/dryad.4mw6m90m8,Diagnostic accuracy of nutritional screening tools in patients with digestive system tumors: A meta-analysis and bayesian evaluation dataset,10.5061/dryad.4mw6m90m8,included_excluded_studies.csv,included_excluded_studies.csv,3223,https://datadryad.org/api/v2/files/3656056/download,sha-256:7f1bf60303841ac24a3e9321262caf5429a13dd1e8d250edb4d51d44bec349cf,csv,CC0-1.0,https://spdx.org/licenses/CC0-1.0.html,download_http_401,401,
Dryad,10.5061/dryad.4mw6m90m8,DRYAD:10.5061/dryad.4mw6m90m8,Diagnostic accuracy of nutritional screening tools in patients with digestive system tumors: A meta-analysis and bayesian evaluation dataset,10.5061/dryad.4mw6m90m8,README.md,README.md,7630,https://datadryad.org/api/v2/files/3656076/download,sha-256:543765bda8b46c62c739e20640be64f9fa592479bfb68d180df8ae50c43db88f,md,CC0-1.0,https://spdx.org/licenses/CC0-1.0.html,unsupported_format,,
Dryad,10.5061/dryad.4mw6m90m8,DRYAD:10.5061/dryad.4mw6m90m8,Diagnostic accuracy of nutritional screening tools in patients with digestive system tumors: A meta-analysis and bayesian evaluation dataset,10.5061/dryad.4mw6m90m8,Result_of_meta-analysis_and_Bayes_analysis.csv,Result_of_meta-analysis_and_Bayes_analysis.csv,1200,https://datadryad.org/api/v2/files/3656057/download,sha-256:ca0d7e962a66998efbf1662ae52084b6e0c10f095090b9b92d8c72eab593ef87,csv,CC0-1.0,https://spdx.org/licenses/CC0-1.0.html,download_http_401,401,
Dryad,10.5061/dryad.4mw6m90m8,DRYAD:10.5061/dryad.4mw6m90m8,Diagnostic accuracy of nutritional screening tools in patients with digestive system tumors: A meta-analysis and bayesian evaluation dataset,10.5061/dryad.4mw6m90m8,risk_of_bias_assessment.xml,risk_of_bias_assessment.xml,893714,https://datadryad.org/api/v2/files/3656059/download,sha-256:d7d23c80523e2b91b1582005eb27e86bbd760c1c98afec2d317e6e8dc2b0f89c,xml,CC0-1.0,https://spdx.org/licenses/CC0-1.0.html,unsupported_format,,
Dryad,10.5061/dryad.4mw6m90m8,DRYAD:10.5061/dryad.4mw6m90m8,Diagnostic accuracy of nutritional screening tools in patients with digestive system tumors: A meta-analysis and bayesian evaluation dataset,10.5061/dryad.4mw6m90m8,stata_commands_for_diagnostic_analysis.xml,stata_commands_for_diagnostic_analysis.xml,75392,https://datadryad.org/api/v2/files/3656058/download,sha-256:f87de879790d7b9345ff70a341435ad99bbfb8b2fa9de82546f48778d52befdb,xml,CC0-1.0,https://spdx.org/licenses/CC0-1.0.html,unsupported_format,,
Dryad,10.5061/dryad.900f8,DRYAD:10.5061/dryad.900f8,Data from: Evidence assessing the diagnostic performance of medical smartphone apps: a systematic review and exploratory meta-analysis,10.5061/dryad.900f8,Appendix_studies_description.xls,Appendix_studies_description.xls,98304,https://datadryad.org/api/v2/files/45157/download,md5:581b1018cf6c9e46fe19e08675a2b13f,xls,CC0-1.0,https://spdx.org/licenses/CC0-1.0.html,unsupported_format,,
Dryad,10.5061/dryad.b7fs1j3,DRYAD:10.5061/dryad.b7fs1j3,Data from: Diagnostic accuracy of point shear wave elastography and transient elastography for staging hepatic fibrosis in patients with non-alcoholic fatty liver disease: a meta-analysis,10.5061/dryad.b7fs1j3,original data_metaanalysis.rar,original data_metaanalysis.rar,17644,https://datadryad.org/api/v2/files/58075/download,md5:45696f8f737c96e0f4c63217186884c1,rar,CC0-1.0,https://spdx.org/licenses/CC0-1.0.html,unsupported_format,,
Dryad,10.5061/dryad.bd8j403,DRYAD:10.5061/dryad.bd8j403,Data from: Automated peak detection method for behavioral event identification: detecting Balaenoptera musculus and Grampus griseus feeding attempts,10.5061/dryad.bd8j403,blue_whale_figures.pdf,blue_whale_figures.pdf,4349348,https://datadryad.org/api/v2/files/5925/download,md5:8026ba65f98397e67e99955710e4c066,pdf,CC0-1.0,https://spdx.org/licenses/CC0-1.0.html,unsupported_format,,
Dryad,10.5061/dryad.bd8j403,DRYAD:10.5061/dryad.bd8j403,Data from: Automated peak detection method for behavioral event identification: detecting Balaenoptera musculus and Grampus griseus feeding attempts,10.5061/dryad.bd8j403,data.RData,data.RData,246041228,https://datadryad.org/api/v2/files/5927/download,md5:7efb6a27be0e0697a97c79a4b1fc8f8e,rdata,CC0-1.0,https://spdx.org/licenses/CC0-1.0.html,unsupported_format,,
